IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
217795A,Density of doctors,COUNTRY,052,Barbados,YEAR,1995,13.648
217795A,Density of doctors,COUNTRY,052,Barbados,YEAR,2000,13.789
217795A,Density of doctors,COUNTRY,052,Barbados,YEAR,2022,29.652
217795A,Density of doctors,COUNTRY,052,Barbados,YEAR,2020,26.256
217795A,Density of doctors,COUNTRY,052,Barbados,YEAR,2021,28.805
217795A,Density of doctors,COUNTRY,052,Barbados,YEAR,2001,15.825
217795A,Density of doctors,COUNTRY,052,Barbados,YEAR,2005,18.145
217795A,Density of doctors,COUNTRY,052,Barbados,YEAR,2017,25.501
