IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,COUNT_N
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2015,390
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2016,1433
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2021,448
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2010,2917
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2017,398
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2018,67
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2020,1352
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2011,746
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2012,1445
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2013,2848
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2022,340
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2014,2689
2D6FBE4,People requiring interventions against Neglected Tropical Diseases (NTDs),COUNTRY,052,Barbados,YEAR,2019,117
