IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2001,2.6,2.2,3
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2003,3.7,3.2,4.3
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2006,2.1,1.8,2.5
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2008,1.3,1.1,1.5
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2009,0.84,0.72,0.97
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2019,0,0,0
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2012,1.7,1.4,1.9
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2017,0,0,0
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2021,0.41,0.35,0.47
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2022,2,1.7,2.4
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2020,2.4,2.1,2.8
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2002,2.2,1.9,2.5
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2005,4.1,3.5,4.7
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2010,2.5,2.1,2.9
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2013,1.7,1.4,1.9
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2015,0,0,0
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2018,0.41,0.35,0.47
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2000,1.3,1.1,1.5
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2004,8.2,7,9.4
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2007,6.8,5.8,7.8
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2011,0,0,0
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2014,2.1,1.8,2.4
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2016,1.2,1.1,1.4
C288D13,Tuberculosis cases,COUNTRY,052,Barbados,YEAR,2023,0.81,0.7,0.94
