IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,RATE_PER_100000_N
ED50112,"Unsafe water, sanitation and hygiene services deaths",COUNTRY,052,Barbados,YEAR,2019,Female,8.5
ED50112,"Unsafe water, sanitation and hygiene services deaths",COUNTRY,052,Barbados,YEAR,2019,Male,6.9
ED50112,"Unsafe water, sanitation and hygiene services deaths",COUNTRY,052,Barbados,YEAR,2019,Total,7.7
